Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
172.30.1.45,239.255.255.250,17,57855,1900,0.3096706867218017,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,306,494.0732415446552,3.229236872840884,153,153,153.0,0.0,0.3096706867218017,0
172.30.1.12,162.159.134.234,6,64844,443,0.2573387622833252,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,80,155.43713525738008,3.885928381434502,40,40,40.0,0.0,0.2573387622833252,2
172.30.1.12,142.250.76.142,17,56025,443,0.0042636394500732,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,126,14776.108706592851,234.5414080411564,63,63,63.0,0.0,0.0042636394500732,2
142.250.76.142,172.30.1.12,17,443,56025,0.0059931278228759,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,2548,212576.81091617933,166.85777936905757,1274,1274,1274.0,0.0,0.0059931278228759,0
142.250.76.142,172.30.1.12,17,443,56025,0.0040526390075683,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,124,15298.67325567714,246.75279444640543,62,62,62.0,0.0,0.0040526390075683,0
172.30.1.12,142.250.76.142,17,56025,443,0.0060164928436279,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,118,9806.377491579156,166.20978799286706,59,59,59.0,0.0,0.0060164928436279,2
142.250.76.142,172.30.1.12,17,443,56025,0.0059511661529541,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,102,8569.74896839069,168.03429349785665,51,51,51.0,0.0,0.0059511661529541,0
172.30.1.12,142.250.206.206,17,52061,443,2.9733593463897705,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,2548,428.4715877167288,0.3363199275641513,1274,1274,1274.0,0.0,2.9733593463897705,1
172.30.1.12,142.250.206.206,17,52061,443,0.0010364055633544,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,1182,570240.088336784,964.8732459167242,591,591,591.0,0.0,0.0010364055633544,2
142.250.206.206,172.30.1.12,17,443,52061,0.0319585800170898,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,102,1595.8155829429145,31.29050162633165,51,51,51.0,0.0,0.0319585800170898,0
172.30.1.12,142.250.206.206,17,52061,443,0.0020012855529785,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,126,31479.765546819155,499.6788182034786,63,63,63.0,0.0,0.0020012855529785,2
142.250.206.206,172.30.1.12,17,443,52061,0.0030009746551513,2023-04-30 20:00:51,0,1,0,0,0,0,0,0,0,174,28990.58139350123,333.2250734885199,87,87,87.0,0.0,0.0030009746551513,0
52.111.240.15,172.30.1.12,6,443,60672,0.1321604251861572,2023-04-30 20:00:52,0,1,0,0,0,0,0,0,0,80,302.6624645286756,7.566561613216891,40,40,40.0,0.0,0.1321604251861572,0
172.30.1.12,142.250.206.227,17,52575,443,0.0647690296173095,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,202,1559.3872657466477,15.439477878679678,101,101,101.0,0.0,0.0647690296173095,2
142.250.206.227,172.30.1.12,17,443,52575,0.0032393932342529,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,2556,394518.32722455286,308.699786560683,1278,1278,1278.0,0.0,0.0032393932342529,0
142.250.206.227,172.30.1.12,17,443,52575,0.0010497570037841,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,356,169563.05064728594,952.60140813082,178,178,178.0,0.0,0.0010497570037841,0
172.30.1.12,142.250.206.227,17,52575,443,0.0112464427947998,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,212,9425.20243369867,88.91700409149689,106,106,106.0,0.0,0.0112464427947998,2
142.250.206.227,172.30.1.12,17,443,52575,0.0317866802215576,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,100,1572.9859064077466,31.459718128154933,50,50,50.0,0.0,0.0317866802215576,0
172.30.1.12,142.250.206.227,17,52575,443,0.0010414123535156,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,118,56653.831501831504,960.2344322344322,59,59,59.0,0.0,0.0010414123535156,2
142.250.206.227,172.30.1.12,17,443,52575,0.0275161266326904,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,102,1853.4585438129811,36.34232438848984,51,51,51.0,0.0,0.0275161266326904,0
172.30.1.12,142.250.206.227,17,52575,443,0.0029959678649902,2023-04-30 20:00:54,0,1,0,0,0,0,0,0,0,118,19693.13512653191,333.78195129715107,59,59,59.0,0.0,0.0029959678649902,2
