Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
172.30.1.12,142.250.206.206,17,52061,443,2.973359346,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,2548,428.4715877,0.336319928,1274,1274,1274,0,2.973359346,1
172.30.1.12,142.250.206.206,17,52061,443,0.001036406,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,1182,570240.0883,964.8732459,591,591,591,0,0.001036406,2
142.250.206.206,172.30.1.12,17,443,52061,0.03195858,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,102,1595.815583,31.29050163,51,51,51,0,0.03195858,0
172.30.1.12,142.250.206.206,17,52061,443,0.002001286,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,126,31479.76555,499.6788182,63,63,63,0,0.002001286,2
142.250.206.206,172.30.1.12,17,443,52061,0.003000975,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,174,28990.58139,333.2250735,87,87,87,0,0.003000975,0
52.111.240.15,172.30.1.12,6,443,60672,0.132160425,2023-04-30 20:00,0,1,0,0,1,0,1,0,0,80,302.6624645,7.566561613,40,40,40,0,0.132160425,0
172.30.1.12,142.250.206.227,17,52575,443,0.06476903,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,202,1559.387266,15.43947788,101,101,101,0,0.06476903,2
142.250.206.227,172.30.1.12,17,443,52575,0.003239393,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,2556,394518.3272,308.6997866,1278,1278,1278,0,0.003239393,0
142.250.206.227,172.30.1.12,17,443,52575,0.001049757,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,356,169563.0506,952.6014081,178,178,178,0,0.001049757,0
172.30.1.12,142.250.206.227,17,52575,443,0.011246443,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,212,9425.202434,88.91700409,106,106,106,0,0.011246443,2
142.250.206.227,172.30.1.12,17,443,52575,0.03178668,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,100,1572.985906,31.45971813,50,50,50,0,0.03178668,0
172.30.1.12,142.250.206.227,17,52575,443,0.001041412,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,118,56653.8315,960.2344322,59,59,59,0,0.001041412,2
142.250.206.227,172.30.1.12,17,443,52575,0.027516127,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,102,1853.458544,36.34232439,51,51,51,0,0.027516127,0
172.30.1.12,142.250.206.227,17,52575,443,0.002995968,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,118,19693.13513,333.7819513,59,59,59,0,0.002995968,2
172.30.1.254,239.255.255.250,17,48680,1900,0.005553007,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,998,89861.2209,180.082607,499,499,499,0,0.005553007,0
172.30.1.254,239.255.255.250,17,48680,1900,0.00105691,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,990,468346.6005,946.1547485,495,495,495,0,0.00105691,0
172.30.1.254,239.255.255.250,17,48680,1900,0.001050949,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,950,451972.4138,951.5208711,475,475,475,0,0.001050949,0
172.30.1.254,239.255.255.250,17,48680,1900,0.008215904,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,1014,61709.58003,121.715148,507,507,507,0,0.008215904,0
172.30.1.254,239.255.255.250,17,48680,1900,0.002012014,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,982,244034.0401,497.0143382,491,491,491,0,0.002012014,0
142.250.206.227,172.30.1.12,17,443,52575,0.302799702,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,106,175.0331975,3.302513161,53,53,53,0,0.302799702,0
172.30.1.254,239.255.255.250,17,48680,1900,1.568308115,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,982,313.076235,0.637629807,491,491,491,0,1.568308115,0
172.30.1.254,239.255.255.250,17,48680,1900,0.000993967,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,978,491968.0154,1006.069561,489,489,489,0,0.000993967,0
172.30.1.254,239.255.255.250,17,48680,1900,0.265757561,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,872,1640.593023,3.762828035,436,436,436,0,0.265757561,0
172.30.1.254,239.255.255.250,17,48680,1900,0.0,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,872,0.0,0.0,436,436,436,0,0.0,0
172.30.1.254,239.255.255.250,17,48680,1900,0.000960827,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,872,453775.8174,1040.770223,436,436,436,0,0.000960827,0
162.159.134.234,172.30.1.12,6,443,64844,2.764005184,2023-04-30 20:00,0,1,0,0,1,0,1,0,0,278,50.28934128,0.361793822,139,139,139,0,2.764005184,0
172.30.1.12,162.159.134.234,6,64844,443,2.759437561,2023-04-30 20:00,0,1,0,0,1,0,1,0,0,80,14.49570759,0.36239269,40,40,40,0,2.759437561,2
172.30.1.12,239.255.255.250,17,58260,1900,1.00125885,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,406,202.7447747,0.998742733,203,203,203,0,1.00125885,0
172.30.1.45,239.255.255.250,17,35271,1900,0.31021452,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,306,493.2070886,3.223575742,153,153,153,0,0.31021452,0
172.30.1.12,239.255.255.250,17,58260,1900,0.999450445,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,406,203.111621,1.000549857,203,203,203,0,0.999450445,0
52.114.44.86,172.30.1.12,6,443,63317,0.027946472,2023-04-30 20:01,0,1,0,0,1,0,1,0,0,172,3077.311493,35.78269178,86,86,86,0,0.027946472,0
172.30.1.12,172.217.25.163,6,65090,443,0.036676645,2023-04-30 20:01,0,1,0,0,1,0,1,0,0,80,1090.612287,27.26530718,40,40,40,0,0.036676645,2
172.217.25.163,172.30.1.12,6,443,65090,0.037707567,2023-04-30 20:01,0,0,0,0,1,0,1,0,0,80,1060.795033,26.51987582,40,40,40,0,0.037707567,0
172.217.25.163,172.30.1.12,6,443,65090,0.005214453,2023-04-30 20:01,0,0,0,0,1,0,1,0,0,2904,278456.8336,191.7746788,1452,1452,1452,0,0.005214453,0
172.30.1.12,172.217.25.163,6,65090,443,0.064961433,2023-04-30 20:01,0,1,0,0,1,0,1,0,0,80,615.7499596,15.39374899,40,40,40,0,0.064961433,2
172.217.25.163,172.30.1.12,6,443,65090,0.034680367,2023-04-30 20:01,0,0,0,0,1,0,1,0,0,598,8621.59285,28.8347587,299,299,299,0,0.034680367,0
172.30.1.12,172.217.25.163,6,65090,443,0.001026392,2023-04-30 20:01,0,1,0,0,1,0,1,0,0,228,111068.6774,974.2866434,114,114,114,0,0.001026392,2
172.30.1.12,172.217.25.163,6,65090,443,0.000997305,2023-04-30 20:01,0,1,0,0,1,0,1,0,0,676,338913.4,1002.702367,338,338,338,0,0.000997305,1
172.217.25.163,172.30.1.12,6,443,65090,0.030187607,2023-04-30 20:01,0,0,0,0,1,0,1,0,0,142,2351.958552,33.12617679,71,71,71,0,0.030187607,0
172.217.25.163,172.30.1.12,6,443,65090,0.03571105,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,142,1988.180127,28.002537,71,71,71,0,0.03571105,0
172.217.25.163,172.30.1.12,17,443,56726,0.034780979,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,2556,36744.22144,28.75134698,1278,1278,1278,0,0.034780979,0
172.217.25.163,172.30.1.12,6,443,65090,0.000999928,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,142,71005.1464,1000.072485,71,71,71,0,0.000999928,0
172.30.1.12,172.217.25.163,6,65090,443,0.099952221,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,80,400.1912077,10.00478019,40,40,40,0,0.099952221,2
172.30.1.12,172.217.25.163,17,56726,443,0.042697668,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,134,1569.172346,23.42048278,67,67,67,0,0.042697668,2
172.30.1.12,172.217.25.163,6,65090,443,0.000947237,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,158,83400.45709,1055.701988,79,79,79,0,0.000947237,2
172.217.25.163,172.30.1.12,17,443,56726,0.025485039,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,2506,49166.10141,39.23870823,1253,1253,1253,0,0.025485039,0
172.217.25.163,172.30.1.12,6,443,65090,0.020990133,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,80,1905.657266,47.64143164,40,40,40,0,0.020990133,0
172.30.1.12,172.217.25.163,17,56726,443,0.015550375,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,120,3858.427855,64.30713092,60,60,60,0,0.015550375,2
172.217.25.163,172.30.1.12,17,443,56726,0.023508072,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,1960,41687.80852,42.53858012,980,980,980,0,0.023508072,0
172.217.25.163,172.30.1.12,17,443,56726,0.020833015,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,104,2496.038087,48.00073243,52,52,52,0,0.020833015,0
172.30.1.12,52.114.15.123,6,59094,443,0.122126341,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,80,327.529669,8.188241725,40,40,40,0,0.122126341,2
172.30.1.12,239.255.255.250,17,56727,1900,1.002192974,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,406,202.5558004,0.997811825,203,203,203,0,1.002192974,0
172.30.1.12,239.255.255.250,17,56727,1900,1.012507439,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,406,200.4923542,0.987647065,203,203,203,0,1.012507439,0
172.30.1.45,239.255.255.250,17,43937,1900,0.30687952,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,306,498.566994,3.258607804,153,153,153,0,0.30687952,0
172.30.1.19,224.0.0.251,17,5353,5353,19.30627418,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,178,4.609900346,0.051796633,89,89,89,0,19.30627418,0
162.159.134.234,172.30.1.12,6,443,64844,3.787647009,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,298,39.3384071,0.264016155,149,149,149,0,3.787647009,0
