Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
10.50.211.217,20.42.65.90,6,55624,443,2023-05-30 14:00:09,1,1,0,0,1,0,0,0,1,40,0.252037763595581,0
170.114.52.5,10.50.211.217,6,443,55337,2023-05-30 14:00:10,0,1,0,0,1,0,0,0,1,40,5.130076169967651,0
10.50.211.217,170.114.52.5,6,55337,443,2023-05-30 14:00:10,0,1,0,0,1,0,0,0,1,40,5.146310806274414,0
10.50.211.217,168.126.63.1,17,62963,53,2023-05-30 14:00:13,0,0,0,0,0,0,0,0,0,60,26.919148683547974,0
168.126.63.1,10.50.211.217,17,53,62963,2023-05-30 14:00:13,0,1,0,0,0,0,0,0,0,107,26.921553134918213,0
10.50.211.217,110.76.141.62,6,55625,443,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,40,0.0025367736816406,0
110.76.141.62,10.50.211.217,6,443,55625,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,40,0.003312349319458,0
110.76.141.62,10.50.211.217,6,443,55625,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,1500,0.0011956691741943,0
10.50.211.217,110.76.141.62,6,55625,443,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,40,0.0066664218902587,0
110.76.141.62,10.50.211.217,6,443,55625,2023-05-30 14:00:13,0,1,0,1,1,0,0,0,1,298,0.0049858093261718,0
10.50.211.217,110.76.141.62,6,55625,443,2023-05-30 14:00:13,0,1,0,1,1,0,0,0,1,245,0.0049986839294433,0
110.76.141.62,10.50.211.217,6,443,55625,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,1500,0.0037498474121093,0
10.50.211.217,110.76.141.62,6,55625,443,2023-05-30 14:00:13,1,1,0,0,1,0,0,0,1,40,0.0,0
110.76.141.62,10.50.211.217,6,443,55625,2023-05-30 14:00:13,1,1,0,0,1,0,0,0,1,40,0.0029973983764648,0
10.50.211.217,13.107.5.93,6,55570,443,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,41,45.015403747558594,0
13.107.5.93,10.50.211.217,6,443,55570,2023-05-30 14:00:13,0,1,0,0,1,0,0,0,1,52,45.023542404174805,0
10.50.211.217,168.126.63.1,17,62258,53,2023-05-30 14:00:14,0,0,0,0,0,0,0,0,0,65,5.576437711715698,0
10.50.211.217,168.126.63.1,17,63943,53,2023-05-30 14:00:14,0,0,0,0,0,0,0,0,0,65,5.588101387023926,0
168.126.63.1,10.50.211.217,17,53,62258,2023-05-30 14:00:14,0,1,0,0,0,0,0,0,0,124,5.583299398422241,0
168.126.63.1,10.50.211.217,17,53,63943,2023-05-30 14:00:14,0,0,0,0,0,0,0,0,0,175,5.553214073181152,0
10.50.211.217,203.217.237.67,6,55626,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0036375522613525,0
