Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,IAT,labels
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,390,10.833333333333334,0.0555555555555555,195,195,195.0,0.0,,0.0180504322052001,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:19,0,1,0,0,0,0,0,0,0,148,74.0,1.0,74,74,74.0,0.0,,0.0010218620300292,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,400,6.666666666666667,0.0333333333333333,200,200,200.0,0.0,,0.0301401615142822,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,2222,8.48091603053435,0.0076335877862595,1111,1111,1111.0,0.0,,0.1316061019897461,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:19,0,1,0,0,0,0,0,0,0,140,0.5691056910569106,0.008130081300813,70,70,70.0,0.0,,0.1236488819122314,0
172.30.1.44,162.159.129.235,6,61079,443,2023-05-07 17:01:20,0,1,0,1,1,0,0,0,1,260,0.2844638949671772,0.0021881838074398,130,130,130.0,0.0,,0.4571683406829834,2
162.159.129.235,172.30.1.44,6,443,61079,2023-05-07 17:01:20,0,1,0,0,1,0,0,0,1,80,0.092378752886836,0.0023094688221709,40,40,40.0,0.0,,0.4330010414123535,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1956,5.686046511627907,0.005813953488372,978,978,978.0,0.0,,0.1725220680236816,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,228,22.8,0.2,114,114,114.0,0.0,,0.0058271884918212,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1884,134.57142857142858,0.1428571428571428,942,942,942.0,0.0,,0.0070128440856933,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,256,0.3333333333333333,0.0026041666666666,128,128,128.0,0.0,,0.3849871158599853,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:20,0,1,0,0,0,0,0,0,0,140,1.8421052631578947,0.0263157894736842,70,70,70.0,0.0,,0.0386600494384765,0
66.22.228.166,172.30.1.44,17,50004,62301,2023-05-07 17:01:20,0,1,0,0,0,0,0,0,0,216,0.1453566621803499,0.0013458950201884,108,108,108.0,0.0,,0.743863582611084,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,126,0.0,0.0,63,63,63.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1780,12.027027027027026,0.0135135135135135,890,890,890.0,0.0,,0.0743799209594726,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:20,0,1,0,0,0,0,0,0,0,132,0.6534653465346535,0.0099009900990099,66,66,66.0,0.0,,0.1017858982086181,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1864,8.876190476190477,0.0095238095238095,932,932,932.0,0.0,,0.1051282882690429,0
